id,text,clean_text,topic,sentiment
1,Community outreach programmes supporting local families and vulnerable groups,community outreach programme supporting local family vulnerable group,1,-0.08333333333333333
2,Funding constraints affecting long term sustainability of services,funding constraint affecting long term sustainability service,2,-0.05
3,Volunteer engagement has improved through regular events and training sessions,volunteer engagement improved regular event training session,1,0.0
4,Challenges in coordinating resources across multiple locations,challenge coordinating resource across multiple location,3,0.0
5,Strong focus on mental health support and wellbeing initiatives,strong focus mental health support wellbeing initiative,2,0.16666666666666663
6,Limited awareness among the public about available support services,limited awareness among public available support service,0,0.10952380952380954
7,Successful collaboration with local partners and stakeholders,successful collaboration local partner stakeholder,1,0.375
8,Difficulty in retaining volunteers beyond short term commitments,difficulty retaining volunteer beyond short term commitment,4,0.0
9,Positive feedback from beneficiaries regarding accessibility of services,positive feedback beneficiary regarding accessibility service,3,0.22727272727272727
10,Operational challenges caused by increasing demand and limited staffing,operational challenge caused increasing demand limited staffing,0,-0.07142857142857142
11,Education programmes aimed at skill development and empowerment,education programme aimed skill development empowerment,0,0.0
12,Concerns around consistent funding and grant availability,concern around consistent funding grant availability,1,0.25
13,High engagement during seasonal campaigns and awareness drives,high engagement seasonal campaign awareness drive,3,0.16
14,Need for improved communication across teams and departments,need improved communication across team department,3,0.0
15,Growing interest in digital platforms for outreach and engagement,growing interest digital platform outreach engagement,3,0.0
16,Support services expanded to meet rising community needs,support service expanded meet rising community need,1,0.0
17,Volunteer training programmes improved overall service quality,volunteer training programme improved overall service quality,3,0.0
18,Uncertainty around long term funding models,uncertainty around long term funding model,2,-0.05
19,Strong participation in community led initiatives,strong participation community led initiative,1,0.4333333333333333
20,Operational strain during peak activity periods,operational strain peak activity period,1,0.0
21,Awareness campaigns increased visibility of support programmes,awareness campaign increased visibility support programme,4,0.0
22,Challenges managing volunteer schedules and availability,challenge managing volunteer schedule availability,3,0.0
23,Positive response to new wellbeing focused services,positive response new wellbeing focused service,2,0.18181818181818182
24,Limited resources impacting service delivery timelines,limited resource impacting service delivery timeline,4,-0.07142857142857142
25,Partnerships helped extend reach into underserved areas,partnership helped extend reach underserved area,4,0.0
26,Volunteer retention remains a key challenge,volunteer retention remains key challenge,3,0.0
27,Demand for services has increased steadily over the year,demand service increased steadily year,1,0.16666666666666666
28,Funding delays affecting programme planning cycles,funding delay affecting programme planning cycle,4,0.0
29,Community feedback highlighted need for clearer communication,community feedback highlighted need clearer communication,1,0.0
30,Improved coordination across teams enhanced service efficiency,improved coordination across team enhanced service efficiency,3,0.0
31,Digital engagement channels showing promising growth,digital engagement channel showing promising growth,4,0.1
32,Concerns about capacity to meet future demand,concern capacity meet future demand,0,0.0
33,Volunteer led initiatives strengthened community trust,volunteer led initiative strengthened community trust,1,0.0
34,Operational improvements reduced processing delays,operational improvement reduced processing delay,0,0.0
35,Increased participation in educational workshops,increased participation educational workshop,1,0.25
36,Grant dependency creates uncertainty for planning,grant dependency creates uncertainty planning,2,0.0
37,Public engagement improved through targeted outreach,public engagement improved targeted outreach,3,0.0
38,Volunteer burnout observed during intensive campaigns,volunteer burnout observed intensive campaign,1,0.0
